RESPNUM,CCGID,RUNID,INTDATE,DAY,GATE,BAREA,STRATA,PEAK,METH,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE_CODE,DEST_CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,HOWLONG,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAY,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8-1,Q8-2,Q8-3,Q8-4,Q8-5,Q8-6,Q9Boarding,Q9AirTrain,Q9Rental,Q9Food,Q9Restroom,Q9All,Q9-1,Q9-2,Q9-3,Q10Safe,Q10-1,Q10-2,Q10-3,Q11TSAPRE,Q12PRECHECKRATE,Q12-1,Q12-2,Q12-3,Q13COUNTY,Q13GETRATE,Q14FIND ,Q14PASSTHRU,Q15PROBLEM,Q15A,Q15-1,Q15-2,Q15-3,NETPRO  ,Q17LIVE,Q18CITY,Q18COUNTY,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19Clear,Q20Age,Q21Gender,Q22Income,Q23FLY,Q24SJC,Q24OAK,LANG,WEIGHT
2,195,42,3,5,24,B,2,1,1,2,SOUTHWEST,SAN DIEGO,1573,28,57,1,2,0.409722222,0.465277778,80,2,,,5,,,,1,0,1,0,1,1,0,6,3,6,3,4,5,6,6,6,6,6,6,6,6,3,0,,,,,,2,6,6,6,6,6,0,,,5,0,,,0,,,,,5,5,5,5,2,,,,,10,3,,,,,MEXICO,13,2,4,2,0,0,0,1,1,0.994274752
1484,391,17,2,4,22,B,1,2,1,2,FRONTIER,DENVER,670,19,14,1,4,0.895833333,1.040972222,209,2,,,2,,,,1,2,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,,,,,4,4,4,4,4,4,0,,,5,2,,,1,5,1,,,6,5,5,5,2,,,,,10,3,ALEXANDRIA,FAIRFAX COUNTY,VA,22310,US,12,0,5,2,4,1,1,0,1,0.20803798
1598,276,32,2,4,97,G,2,3,1,2,SINGAPORE AIRLINES,SINGAPORE,31,27,65,8,4,0.375,0.479166667,150,2,,,2,,,,1,1,1,1,3,1,4,4,4,4,5,5,5,0,6,5,5,4,6,6,6,4,0,,,,,,5,6,6,5,5,5,0,,,5,5,,,1,5,1,,,9,5,5,5,2,,,,,10,1,PETALUMA,SONOMA COUNTY,CA,94952,US,9,2,0,2,2,2,2,2,1,0.670484223
1188,1433,523,15,3,28,B,3,2,1,2,SOUTHWEST,LAS VEGAS,5606,28,31,1,4,0.788194444,0.829861111,60,2,,,12,,,,1,0,0,0,6,1,4,4,4,4,5,5,5,5,5,4,6,6,6,6,6,5,3,,,,,,5,6,6,5,5,5,0,,,5,16,,,1,5,1,,,3,5,5,5,2,,,,,10,1,NOVATO,MARIN COUNTY,CA,94947,US,3,2,4,1,2,2,0,1,1,0.994274752
1971,589,623,29,3,64,E,1,1,1,2,UNITED,BALTIMORE,2063,30,6,2,2,0.291666667,0.399305556,155,2,,,5,,,,1,1,1,2,1,2,1,5,4,4,5,5,5,6,6,6,3,6,5,6,3,5,0,,,,,,5,5,5,5,3,4,5,,,5,0,,,1,5,1,,,5,5,5,5,2,,,,,10,3,BALTIMORE,BALTIMORE CITY,MD,21224,US,12,0,2,2,1,2,2,2,1,1.486924802
1236,1410,525,15,3,28,B,3,2,1,2,SOUTHWEST,LAS VEGAS,1201,28,31,1,4,0.833333333,0.90625,105,2,,,2,,,,1,0,0,1,1,1,4,6,6,6,5,5,5,5,5,5,5,5,5,6,5,5,0,,,,,,5,5,6,6,5,5,0,,,5,0,,,1,5,1,,,5,5,5,5,2,,,,,10,1,SAN FRANCISCO,SAN FRANCISCO COUNTY,CA,94112,US,5,2,6,2,1,3,2,0,4,0.994274752
1615,1918,179,17,5,8,A,3,3,1,2,VIRGIN ATLANTIC,LONDON HEATHROW,20,32,32,6,4,0.583333333,0.743055556,230,2,,,9,,,,1,1,1,2,1,1,4,3,5,4,5,5,5,5,6,4,5,6,5,6,5,4,42,,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,1,18,,3,5,5,5,2,,,,,10,3,SOUTHAMPTON,,,,UNITED KINGDOM,15,0,7,2,0,2,2,2,1,0.670484223
2371,918,158,15,3,9,A,1,1,1,2,JETBLUE,FT. LAUDERDALE,578,22,21,2,3,0.284722222,0.375694444,131,2,,,9,,,,1,0,1,1,1,1,1,6,5,6,5,5,5,6,6,5,6,6,5,6,5,5,0,,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,1,,,0,5,5,0,2,,,,,10,3,ANASCO,AÑASCO MUNICIPIO,PR,610,US,13,2,6,2,1,2,2,2,1,0.670484223
868,1570,513,15,3,57,D,3,2,1,2,AMERICAN,DALLAS-FT. WORTH,2352,8,13,3,4,0.645833333,0.725694444,115,2,,,2,,,,2,2,2,1,1,2,1,3,5,4,5,3,4,6,6,5,3,4,6,6,6,5,991,65,,,,,5,6,6,6,5,5,1,,,5,3,22,,1,5,2,16,,5,5,5,5,2,,,,,10,3,FLOWER MOUND,DENTON COUNTY,TX,75028,US,11,2,7,2,1,2,2,2,1,1.061139364
595,2382,647,31,5,50,D,1,1,1,2,ALASKA,"WASHINGTON,DC-DULLES",1084,7,72,2,2,0.298611111,0.392361111,135,2,,,12,,,,1,0,1,1,3,1,4,5,5,5,5,6,5,5,5,5,5,5,6,6,6,5,14,,,,,,5,6,6,5,5,5,0,,,5,9,,,1,5,2,,,9,5,5,5,2,,,,,10,1,ROHNERT PARK,SONOMA COUNTY,CA,94928,US,9,2,6,2,2,2,0,1,1,1.10633221
572,2412,644,31,5,54,D,1,2,1,2,ALASKA,SEATTLE,313,7,62,1,4,0.21875,0.302083333,120,2,,,2,,,,1,1,2,2,3,1,4,3,3,3,5,4,5,4,4,3,3,3,3,0,3,4,0,,,,,,4,2,3,3,5,5,0,,,5,0,,,1,5,2,,,6,5,3,3,2,,,,,10,1,PACIFICA,SAN MATEO COUNTY,CA,94044,US,6,0,5,2,4,1,2,2,1,1.10633221
1413,414,636,30,4,60,E,1,1,1,2,UNITED,LAS VEGAS,358,30,31,1,4,0.375,0.452777778,112,2,,,8,,,,1,1,1,2,1,2,1,3,4,4,4,4,4,4,4,3,5,4,4,4,4,4,202,,,,,,3,3,3,3,3,3,0,,,4,0,,,1,2,3,,,5,5,5,3,2,,,,,10,3,BANGKOK,,,,THAILAND,16,0,5,1,4,1,2,2,1,1.486924802
1591,304,33,2,4,95,G,2,3,1,2,UNITED INTL,HONG KONG,869,31,23,8,4,0.416666667,0.541666667,180,2,,,1,,,2,1,1,1,1,1,1,1,4,4,4,4,5,3,4,4,5,5,5,5,5,5,4,0,,,,,,5,5,5,5,5,5,0,,,5,0,,,1,6,3,,,5,5,5,5,2,,,,,10,1,,,,,US,90,2,4,2,2,2,2,2,3,1.486924802
3266,2290,606,22,3,72,F,3,2,1,2,UNITED,LAS VEGAS,394,30,31,1,4,0.8125,0.881944444,100,2,,,6,,,,1,2,2,1,0,2,1,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,0,,,,,,5,5,0,5,5,5,0,,,1,0,,,1,5,3,,,5,5,5,2,2,,,,,10,3,WELLINGTON,PALM BEACH COUNTY,FL,33414,US,12,0,4,1,2,1,2,2,1,1.486924802
